Technology
"Python, Django, MySQL"
"Machine Learning, Python, Tensorflow"
"Large Language Models, Python , PyTorch"
"Deep Learning, Keras, Python"
"Flutter, Firebase, GraphQL"
"iOS, Swift, Core Data"
"Android, Java, Room Persistence"
"Kotlin, Android, FireBase"
"Web Development, React, Node.js"
"Frontend, TypeScript, Angular"
"Backend, Kotlin, Spring Boot"
"Full-stack, javaScript, Express.js"
"Cloud-Computing,  AWS, Python"
"AI, Python, Scikit-learn"
"Web App Development, Vue.js, Ruby on Rails"
"Game Development, Unity, C#"
"DevOps, Jenkins, Docker"
"Data Engineering, Apache Spark, Python"
"Mobile Development, Flutter, Dart"
